O*NET-SOC Code,Title,Thinking Creatively Combined,Originality Combined,Fluency of Ideas Combined,Technology Design Combined,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment Combined"
13-1041.04,Government Property Inspectors and Investigators,2.0690857142857144,1.8057142857142856,2.086428571428572,1.0664285714285715,1.1988
13-1041.06,Coroners,2.4935714285714283,1.9085714285714288,2.044642857142857,1.0442857142857145,1.2428571428571429
13-1041.07,Regulatory Affairs Specialists,1.8414285714285712,1.8728571428571428,2.096342857142857,1.1257142857142857,1.0571428571428572
13-1041.08,Customs Brokers,2.089257142857143,1.8057142857142856,1.8571428571428568,1.0942857142857143,1.0141
13-1051.00,Cost Estimators,2.6575,1.8057142857142856,2.0,1.0535714285714286,1.252857142857143
13-1071.00,Human Resources Specialists,2.1979,1.78,1.75,1.0803571428571428,1.0004
13-1074.00,Farm Labor Contractors,1.182057142857143,1.2857142857142856,1.3392000000000002,1.0,1.0001714285714285
13-1075.00,Labor Relations Specialists,2.376428571428572,2.3392857142857144,2.3857142857142857,1.0206285714285714,1.0027142857142857
13-1081.00,Logisticians,2.4714285714285715,2.3857142857142857,2.275,1.0803571428571428,1.1805142857142856
13-1081.01,Logistics Engineers,2.9065000000000003,2.645714285714285,2.765714285714286,1.6063428571428573,1.8004
13-1081.02,Logistics Analysts,2.665,2.1357142857142857,2.1357142857142857,1.22,1.1233714285714285
13-1111.00,Management Analysts,3.4133142857142857,2.205357142857143,2.571428571428571,1.2208,1.0988
13-1121.00,"Meeting, Convention, and Event Planners",2.934957142857143,2.354914285714286,2.4732142857142856,1.0803571428571428,1.521142857142857
13-1131.00,Fundraisers,3.366,2.205357142857143,2.571428571428571,1.0803571428571428,1.0021428571428572
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",2.316857142857143,1.9285714285714288,1.8914285714285717,1.0357142857142856,1.0555428571428571
13-1151.00,Training and Development Specialists,2.841614285714286,2.4522285714285714,2.524285714285714,1.157142857142857,1.1427142857142858
13-1161.00,Market Research Analysts and Marketing Specialists,3.283228571428571,2.1492,2.7142857142857144,1.0664285714285715,1.0135142857142858
13-1161.01,Search Marketing Strategists,3.256,2.2471428571428573,2.596342857142857,1.4435714285714285,1.0362142857142858
13-1199.04,Business Continuity Planners,2.5232,2.3392857142857144,2.6950857142857143,1.0664285714285715,1.248357142857143
13-1199.05,Sustainability Specialists,2.855371428571429,2.2928571428571427,2.19,1.12,1.3610285714285717
13-1199.06,Online Merchants,2.3505142857142856,1.7200000000000002,1.9657142857142855,1.12,1.0884
13-1199.07,Security Management Specialists,3.0439285714285718,2.3857142857142857,2.4971428571428573,1.3706285714285715,2.0428571428571427
13-2011.00,Accountants and Auditors,2.3347571428571428,1.75,1.837942857142857,1.0942857142857143,1.0161
13-2022.00,Appraisers of Personal and Business Property,2.1784285714285714,1.6364285714285711,1.6665142857142858,1.0089285714285714,1.0616571428571429
13-2023.00,Appraisers and Assessors of Real Estate,1.8391857142857144,1.4249999999999998,1.5892857142857142,1.0271428571428571,1.1734857142857142
13-2031.00,Budget Analysts,2.192457142857143,1.8057142857142856,1.8571428571428568,1.0942857142857143,1.0490285714285714
13-2041.00,Credit Analysts,1.7542857142857144,1.6063428571428573,1.7734857142857143,1.0,1.0075
13-2052.00,Personal Financial Advisors,2.474971428571429,1.8571428571428568,2.023657142857143,1.0357142857142856,1.000457142857143
13-2053.00,Insurance Underwriters,1.9005714285714288,1.7385714285714284,1.7385714285714284,1.0549142857142857,1.000557142857143
13-2061.00,Financial Examiners,1.6394142857142855,1.8914285714285717,1.9657142857142855,1.0206285714285714,1.0021857142857142
13-2071.00,Credit Counselors,2.116342857142857,1.837942857142857,2.096342857142857,1.1071428571428572,1.0
13-2072.00,Loan Officers,2.1429142857142853,1.4,1.7485714285714289,1.1106285714285715,1.004
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",1.8829,1.467857142857143,1.7200000000000002,1.0357142857142856,1.0038857142857145
13-2082.00,Tax Preparers,1.8135714285714288,1.6942857142857144,1.8571428571428568,1.0271428571428571,1.0
13-2099.01,Financial Quantitative Analysts,3.278571428571428,2.096342857142857,2.4522285714285714,1.1734857142857142,1.0257142857142858
13-2099.04,"Fraud Examiners, Investigators and Analysts",2.3289142857142853,1.8571428571428568,2.071428571428571,1.0206285714285714,1.1024
15-1211.00,Computer Systems Analysts,2.765857142857143,2.0342857142857143,2.4285714285714284,1.837942857142857,1.1492714285714285
15-1211.01,Health Informatics Specialists,3.617900000000001,2.645714285714285,2.645714285714285,1.7200000000000002,1.738257142857143
15-1212.00,Information Security Analysts,2.718857142857143,1.9285714285714288,2.071428571428571,1.3392000000000002,1.248357142857143
15-1221.00,Computer and Information Research Scientists,4.081185714285715,2.6393714285714287,2.6950857142857143,2.2477714285714288,1.3827571428571428
15-1231.00,Computer Network Support Specialists,2.4178,1.722057142857143,2.0,1.3008,1.7159999999999995
15-1232.00,Computer User Support Specialists,2.6530142857142858,1.8057142857142856,1.9085714285714288,1.231428571428571,1.3729428571428572
15-1241.00,Computer Network Architects,2.54,2.0342857142857143,2.1750857142857143,2.023657142857143,1.7771428571428571
15-1241.01,Telecommunications Engineering Specialists,2.6393714285714287,1.9842857142857144,1.9842857142857144,1.6364285714285711,2.326071428571429
15-1242.00,Database Administrators,2.9539,2.0,2.096342857142857,1.4691999999999998,1.0578285714285711
15-1243.00,Database Architects,3.266142857142857,2.1085714285714285,2.205357142857143,1.8571428571428568,1.6190285714285717
15-1243.01,Data Warehousing Specialists,3.334171428571428,1.9285714285714288,1.9842857142857144,1.6364285714285711,1.0685714285714285
