O*NET-SOC Code,Title,Technology Design Combined,Developing Objectives and Strategies Combined,Fluency of Ideas Combined,Writing Combined,Thinking Creatively Combined,Originality Combined
29-2081.00,"Opticians, Dispensing",1.157142857142857,1.9464714285714284,1.7734857142857143,2.044642857142857,2.590557142857143,1.8057142857142856
29-2091.00,Orthotists and Prosthetists,1.837942857142857,2.101,2.1635714285714283,2.821428571428571,3.1785714285714284,2.096342857142857
29-2092.00,Hearing Aid Specialists,1.147857142857143,1.7386857142857142,1.6063428571428573,1.9085714285714288,2.0690857142857144,1.5614285714285714
29-2099.01,Neurodiagnostic Technologists,1.0357142857142856,1.9211142857142856,1.6063428571428573,2.1492,2.000842857142857,1.4928571428571429
29-2099.05,Ophthalmic Medical Technologists,1.0206285714285714,1.1760714285714289,1.6875,2.06,1.3928571428571428,1.4910714285714284
29-2099.08,Patient Representatives,1.0803571428571428,1.8162571428571428,1.8571428571428568,2.205357142857143,1.7431428571428569,1.8057142857142856
29-9091.00,Athletic Trainers,1.22,2.317171428571428,2.023657142857143,2.3857142857142857,2.979571428571429,1.9449142857142856
29-9092.00,Genetic Counselors,1.0442857142857145,1.6526714285714283,1.9842857142857144,2.748571428571428,1.8620285714285716,1.9449142857142856
29-9093.00,Surgical Assistants,1.0992,2.008,1.7385714285714284,2.023657142857143,2.295857142857143,1.7734857142857143
29-9099.01,Midwives,1.0664285714285715,2.532457142857143,1.9657142857142855,2.096342857142857,2.4025,1.8057142857142856
31-1121.00,Home Health Aides,1.0089285714285714,1.5667428571428572,1.822857142857143,1.872228571428572,2.175657142857143,1.7200000000000002
31-1122.00,Personal Care Aides,1.0135714285714286,2.532442857142857,1.4179428571428572,1.7734857142857143,2.620285714285714,1.394285714285714
31-1131.00,Nursing Assistants,1.0442857142857145,1.5943571428571428,1.3392000000000002,1.6875,2.211785714285714,1.302857142857143
31-1132.00,Orderlies,1.0042857142857142,1.2514285714285711,1.3008,1.5207142857142857,1.323314285714286,1.2857142857142856
31-1133.00,Psychiatric Aides,1.0664285714285715,2.0034,1.7734857142857143,1.9085714285714288,2.684571428571429,1.6875
31-2011.00,Occupational Therapy Assistants,1.0942857142857143,2.3820571428571427,1.9449142857142856,2.086428571428572,3.2631428571428573,1.837942857142857
31-2012.00,Occupational Therapy Aides,1.0442857142857145,1.9615428571428573,1.6875,1.9085714285714288,2.4508,1.6063428571428573
31-2021.00,Physical Therapist Assistants,1.157142857142857,2.104557142857143,1.8914285714285717,2.0028571428571427,2.6236,1.7200000000000002
31-2022.00,Physical Therapist Aides,1.1408,1.852,1.3392000000000002,1.8571428571428568,2.4952428571428573,1.3785714285714286
31-9011.00,Massage Therapists,1.12,1.8685714285714283,1.6875,1.822857142857143,2.2138857142857145,1.7200000000000002
31-9091.00,Dental Assistants,1.1071428571428572,2.0830857142857147,1.7200000000000002,1.8571428571428568,2.1253,1.5785714285714287
31-9092.00,Medical Assistants,1.0442857142857145,2.836,1.7200000000000002,2.105,2.218642857142857,1.6875
31-9093.00,Medical Equipment Preparers,1.0357142857142856,1.7225714285714284,1.2857142857142856,1.7385714285714284,2.4261142857142857,1.2857142857142856
31-9094.00,Medical Transcriptionists,1.0020571428571428,1.2185714285714286,1.22,2.4893714285714283,1.0765,1.1885714285714286
31-9095.00,Pharmacy Aides,1.0549142857142857,1.9,1.22,1.625,2.124557142857143,1.1885714285714286
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,1.0942857142857143,1.4862,1.4017857142857142,1.9842857142857144,1.8961,1.3571428571428572
31-9097.00,Phlebotomists,1.0549142857142857,1.8971428571428568,1.4821428571428572,1.9085714285714288,1.9415714285714287,1.4179428571428572
31-9099.01,Speech-Language Pathology Assistants,1.1071428571428572,2.215242857142857,1.8914285714285717,1.9842857142857144,2.9338,1.8914285714285717
31-9099.02,Endoscopy Technicians,1.0549142857142857,1.798,1.5207142857142857,1.9085714285714288,2.035557142857143,1.2857142857142856
33-1011.00,First-Line Supervisors of Correctional Officers,1.0549142857142857,2.1711714285714288,1.8571428571428568,2.2928571428571427,2.1517857142857144,1.6875
33-1012.00,First-Line Supervisors of Police and Detectives,1.0442857142857145,2.668,2.023657142857143,2.571428571428571,2.500857142857143,1.8914285714285717
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,1.12,3.1784285714285714,2.25,2.086428571428572,2.758857142857143,2.044642857142857
33-1091.00,First-Line Supervisors of Security Workers,1.0357142857142856,1.927,1.8328571428571427,2.4035714285714285,2.174442857142857,1.6364285714285711
33-2011.00,Firefighters,1.1339285714285714,2.208571428571429,1.837942857142857,1.8728571428571428,2.2366,1.6364285714285711
33-2021.00,Fire Inspectors and Investigators,1.1408,2.1946,1.9085714285714288,2.2928571428571427,2.0182857142857142,1.8571428571428568
33-2022.00,Forest Fire Inspectors and Prevention Specialists,1.0942857142857143,2.8708857142857145,1.7734857142857143,1.9085714285714288,2.2214,1.8571428571428568
33-3011.00,Bailiffs,1.0135714285714286,1.8731428571428568,1.231428571428571,1.4017857142857142,1.9730285714285716,1.197142857142857
33-3012.00,Correctional Officers and Jailers,1.0664285714285715,2.2432,1.7734857142857143,1.8571428571428568,2.4765571428571427,1.4017857142857142
33-3021.00,Detectives and Criminal Investigators,1.077942857142857,2.381114285714286,2.275,2.2308,2.6309714285714287,1.9449142857142856
33-3021.02,Police Identification and Records Officers,1.0549142857142857,2.2052428571428573,1.8571428571428568,2.044642857142857,2.330171428571429,1.7734857142857143
33-3021.06,Intelligence Analysts,1.0664285714285715,2.0986857142857143,2.2857142857142856,2.7142857142857144,3.145342857142857,2.06
