4MA Error,4MA Squared Error,4MA Absolute Error
5496.0,30206102,5496.0
2517.25,6336581,2517.25
-528.25,279332,528.25
2035.0,4142500,2035.0
808.75,654476,808.75
578.75,335364,578.75
1002.0,1004708,1002.0
3272.25,10708350,3272.25
100.75,10431,100.75
2148.25,4616087,2148.25
1890.5,3574000,1890.5
1486.0,2208274,1486.0
-2109.75,4461967,2109.75
1324.75,1755769,1324.75
-319.0,102538,319.0
57.75,6906,59.75
2949.5,8699573,2949.5
3659.0,13388650,3659.0
-3679.5,13539347,3679.5
-2187.25,4784378,2187.25
-734.5,540318,734.5
-424.75,180421,424.75
-936.25,876812,936.25
-1460.0,2131990,1460.0
-2278.75,5192725,2278.75
3361.25,11298730,3361.25
-2255.5,5088390,2255.5
-10.75,5653,74.25
95.5,10952,95.5
2257.25,5095345,2257.25
2166.75,4696503,2166.75
-1788.5,3198938,1788.5
-329.25,109227,329.25
779.0,624154,779.0
394.0,159156,394.0
-1326.25,1759524,1326.25
1811.25,3281639,1811.25
1901.0,3637992,1901.0
350.0,122674,350.0
1539.75,2372113,1539.75
1034.25,1069683,1034.25
3249.0,10556205,3249.0
1626.0,2645783,1626.0
3265.5,10663522,3265.5
3383.75,11450119,3383.75
3396.0,11533802,3396.0
3265.75,10665302,3265.75
3196.25,10219182,3196.25
-1810.25,3278863,1810.25
-570.0,325262,570.0
678.25,464249,678.25
-2168.75,4703521,2168.75
2404.25,5782831,2404.25
5672.25,32175166,5672.25
-2095.25,4391093,2095.25
-1388.25,1934575,1388.25
-1632.25,2664431,1632.25
-515.25,269507,515.25
-3239.5,10494549,3239.5
-2864.0,8203214,2864.0
-102.75,12138,102.75
-1335.25,1784678,1335.25
-1899.5,3609550,1899.5
-2891.75,8367767,2891.75
-1668.0,2782600,1668.0
-138.75,19316,138.75
-1054.25,1111444,1054.25
3791.5,14378568,3791.5
456.0,210066,456.0
1173.0,1376030,1173.0
-1479.0,2189422,1479.0
-1035.0,1072444,1035.0
-306.75,96313,306.75
4446.25,19775612,4446.25
-1695.0,2873058,1695.0
546.75,307928,546.75
-527.25,278794,527.25
-2777.0,7712426,2777.0
1553.75,2427893,1553.75
-2754.75,7589703,2754.75
2954.5,8730303,2954.5
1588.0,2523482,1588.0
-1464.75,2145519,1464.75
-2165.25,4688814,2165.25
1806.5,3266280,1806.5
-977.5,956986,977.5
-1163.0,1353012,1163.0
5373.75,28877246,5373.75
-537.5,289087,537.5
-464.5,216963,464.5
-646.25,418337,646.25
-1547.0,2393220,1547.0
-1822.0,3320344,1822.0
-2607.0,6797740,2607.0
-584.0,341580,584.0
-562.5,318258,562.5
-1023.25,1053143,1023.25
1692.25,2869425,1692.25
-1978.0,3913872,1978.0
745.25,555649,745.25
-1076.25,1159875,1076.25
-2764.0,7643588,2764.0
4325.25,18709023,4325.25
-1043.25,1088542,1043.25
-108.0,11810,108.0
-3198.5,10230586,3198.5
773.75,599533,773.75
-1693.0,2867578,1693.0
-302.5,101374,302.5
675.75,457810,675.75
-1404.75,1973377,1404.75
-291.25,84945,291.25
495.25,245771,495.25
629.25,396330,629.25
-458.0,212934,458.0
-2052.25,4212720,2052.25
2281.75,5221469,2281.75
675.75,457810,675.75
-2111.25,4457534,2111.25
-1256.5,1582294,1256.5
-1871.75,3521072,1871.75
-1258.5,1585549,1258.5
-352.0,123939,352.0
-1075.5,1158474,1075.5
-1233.0,1520298,1233.0
1278.75,1636134,1278.75
-475.0,225806,475.0
-1334.25,1783427,1334.25
2834.5,8037231,2834.5
-1588.5,2523514,1588.5
-1220.0,1490088,1220.0
209.75,44024,209.75
534.5,286162,534.5
-717.0,515084,717.0
524.25,274986,524.25
550.5,303074,550.5
-1022.5,1045728,1022.5
1806.75,3265629,1806.75
1073.5,1152988,1073.5
-603.25,366103,603.25
879.5,773690,879.5
676.0,458420,676.0
-1391.25,1938480,1391.25
829.5,688231,829.5
6496.25,42202010,6496.25
1779.0,3166416,1779.0
1647.25,2713696,1647.25
-532.5,283792,532.5
-1361.5,1855824,1361.5
-1366.5,1867366,1366.5
1204.0,1451066,1204.0
1524.5,2324274,1524.5
-541.5,293670,541.5
1054.0,1110934,1054.0
-339.75,116156,339.75
1458.5,2128868,1458.5
-137.5,19162,137.5
-741.75,550214,741.75
591.0,350378,591.0
-1013.5,1027272,1013.5
-494.25,253747,494.25
744.75,556839,744.75
-446.25,205504,446.25
-873.75,763442,873.75
-304.0,93900,304.0
-659.25,435858,659.25
-1864.5,3476584,1864.5
661.5,440914,661.5
237.5,59450,237.5
-1855.75,3445706,1855.75
3338.5,11161968,3338.5
1729.75,2993015,1729.75
-129.75,18979,129.75
344.25,119127,344.25
2839.25,8067632,2839.25
-1635.5,2688818,1635.5
1215.25,1477238,1215.25
2878.0,8316560,2878.0
-3297.0,10873023,3297.0
-622.5,391696,622.5
171.75,29846,171.75
340.25,115834,340.25
522.5,274040,522.5
-1423.5,2029592,1423.5
-656.5,431551,656.5
529.25,282437,529.25
1.25,2138,45.75
-1317.75,1742132,1317.75
268.25,72059,268.25
-1078.0,1162633,1078.0
-659.75,435793,659.75
-1405.75,1976191,1405.75
-213.0,45738,213.0
-257.0,66134,257.0
-577.75,338489,577.75
-168.25,28666,168.25
