O*NET-SOC Code,Title,Analyzing Data or Information Combined,Documenting/Recording Information Combined,E-Mail,"Estimating the Quantifiable Characteristics of Products, Events, or Information Combined",Getting Information Combined,Information Ordering Combined,Interpreting the Meaning of Information for Others Combined,Processing Information Combined,Programming Combined,Working with Computers Combined
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.1638571428571427,2.910428571428572,5.0,2.1839285714285714,3.787285714285714,2.4971428571428573,2.525714285714286,3.1306428571428566,1.0442857142857145,2.873428571428572
13-1031.00,"Claims Adjusters, Examiners, and Investigators",2.971514285714285,3.0660285714285718,5.0,2.085114285714286,3.3292571428571422,2.25,2.209514285714285,2.976,1.24,2.908342857142857
13-1032.00,"Insurance Appraisers, Auto Damage",2.658042857142857,2.9712,5.0,2.4127,3.240228571428572,1.9449142857142856,1.826514285714285,2.7807142857142857,1.0178571428571428,2.9136
13-1041.00,Compliance Officers,2.782,2.9425428571428576,3.96,1.6687714285714286,3.5688,2.327857142857143,2.1240428571428573,3.3832857142857145,1.0664285714285715,2.630885714285714
13-1041.01,Environmental Compliance Inspectors,2.5517857142857143,2.8571428571428568,4.95,1.842857142857143,3.282142857142857,2.571428571428571,2.2871428571428574,3.0814285714285714,1.0992,2.563428571428572
13-1041.03,Equal Opportunity Representatives and Officers,3.5316428571428573,3.0475000000000003,4.93,1.4755857142857145,3.549828571428572,2.4732142857142856,3.114442857142857,3.263857142857143,1.1885714285714286,2.68
13-1041.04,Government Property Inspectors and Investigators,2.2243000000000004,2.7922571428571428,4.6,2.4112,2.924157142857143,2.7142857142857144,2.3690285714285717,2.570542857142857,1.1339285714285714,2.9419714285714287
13-1041.06,Coroners,3.0814285714285714,3.442857142857143,5.0,2.045957142857143,3.8325,2.645714285714285,2.7325000000000004,3.5182857142857142,1.0357142857142856,2.717857142857143
13-1041.07,Regulatory Affairs Specialists,3.1567857142857143,2.6831428571428573,4.95,1.822857142857143,3.828571428571428,2.4522285714285714,3.1552857142857142,2.6055,1.1734857142857142,2.564642857142857
13-1041.08,Customs Brokers,2.7121142857142857,2.761428571428572,5.0,1.7101,3.597142857142857,2.2071428571428573,2.310714285714285,3.2196571428571428,1.1734857142857142,3.191057142857143
13-1051.00,Cost Estimators,3.9427,2.585642857142857,5.0,3.396228571428572,3.6936,2.4971428571428573,2.5968571428571425,3.366057142857143,1.062857142857143,3.2236
13-1071.00,Human Resources Specialists,2.122,2.670685714285714,5.0,1.3990714285714283,2.671914285714285,2.125,1.8312857142857144,2.511542857142857,1.0549142857142857,2.769928571428572
